Date,địa chỉ,mặt tiền,đường vào,số tầng,số phòng  ngủ,số phòng toilet,m^2,price
09/10/2021,"Đường Số 28, Phường 6, Gò Vấp, Hồ Chí Minh",,28,4,6,4,47,148.9 triệu/m²
09/10/2021,"Đường Số 6, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",4,,4,5,5,60,76.7 triệu/m²
09/10/2021,"Đường Nghi Tàm, Phường Yên Phụ, Tây Hồ, Hà Nội",3.1,,6,4,3,240,62.5 triệu/m²
09/10/2021,"18 Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",8,8,5,5,6,100,154 triệu/m²
09/10/2021,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",,,5,3,4,35,91.4 triệu/m²
08/10/2021,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",5,13.5,5,9,,107.5,13.4 tỷ
08/10/2021,"Dự án The Manor Central Park, Quận Hoàng Mai, Hà Nội",5,20,5,8,8,75,25.3 triệu/m²
30/09/2021,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",3.9,3.5,5,3,4,39,76.9 triệu/m²
08/10/2021,"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",4,8,3,4,4,85,135.3 triệu/m²
08/10/2021,"Dự án Louis City Hoàng Mai, Hoàng Mai, Hà Nội",5,12,5,6,8,95,10.9 tỷ
08/10/2021,"Phố Hạ Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",4.73,15,8,6,8,65,300 triệu/m²
08/10/2021,"Đường 25, Phường 10, Quận 6, Hồ Chí Minh",,,4,5,6,105.5,132.7 triệu/m²
30/09/2021,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",6,,4,6,,126,198.4 triệu/m²
08/10/2021,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",,,6,6,,75,306.7 triệu/m²
08/10/2021,"Dự án Aqua City, Thành phố Biên Hòa, Đồng Nai",12.5,22,4,6,8,250,72 triệu/m²
08/10/2021,"Dự án Vinhomes Grand Park quận 9, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",7,24,,,,200,92 triệu/m²
08/10/2021,"Đường Tôn Thất Tùng, Phường Khương Thượng, Đống Đa, Hà Nội",4.5,10,7,6,7,55,227.3 triệu/m²
08/10/2021,"Dự án Louis City Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",5,13.5,5,,,112,135.7 triệu/m²
08/10/2021,"Hàm Thuận Nam, Bình Thuận",18,42,3,5,4,334,5.4 triệu/m²
08/10/2021,"Xã Đặng Cương, An Dương, Hải Phòng",10,6,3,3,2,200,21 triệu/m²
08/10/2021,"Xã Vĩnh Thái, Nha Trang, Khánh Hòa",4,10,2,2,2,64,23.9 triệu/m²
08/10/2021,"Đường Mai Động, Phường Mai Động, Hoàng Mai, Hà Nội",5.5,3,4,8,4,90,87.8 triệu/m²
08/10/2021,"Ngách 10 số nhà 60, Ngõ 66 đường Võng Thị, Tây Hồ, Hà Nội",,4.5,5,3,,30,131.7 triệu/m²
08/10/2021,"Dự án Westpoint - Nam đường 32, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội",6,,4,4,3,72,97.2 triệu/m²
08/10/2021,"Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội",5,2.5,5,6,4,46,101.1 triệu/m²
08/10/2021,"Dự án Swan Bay, Xã Đại Phước, Nhơn Trạch, Đồng Nai",27,12,5,6,6,336,11 tỷ
08/10/2021,"Đường Nguyễn Phong Sắc, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",4,3,5,3,4,62,112.9 triệu/m²
08/10/2021,"Dự án KĐT Linh Đàm, Phường Đại Kim, Hoàng Mai, Hà Nội",6.7,10,4,,,120,18 tỷ
08/10/2021,"Dự án CityLand Park Hills, Quận Gò Vấp, Hồ Chí Minh",30,30,5,6,5,100,184 triệu/m²
30/09/2021,"Dự án Mipec City View, Phường Kiến Hưng, Hà Đông, Hà Nội",24,25,4,5,4,157,14.1 tỷ
08/10/2021,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",,,5,4,4,54,80.6 triệu/m²
08/10/2021,"Dự án Cát Tường Western Pearl, Đường Trần Hưng Đạo, Phường 5, Vị Thanh, Hậu Giang",5,,4,4,4,120,25 triệu/m²
30/09/2021,"Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội",4,4,5,4,3,38,73.7 triệu/m²
08/10/2021,"Dự án Meyhomes Capital, Đường 975, Phường An Thới, Phú Quốc, Kiên Giang",5,13.5,4,4,4,94.12,87 triệu/m²
08/10/2021,"Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",17.27,5,3,4,3,258.6,44.1 triệu/m²
08/10/2021,"Phố Phan Văn Trường, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",4.5,3,5,4,5,47,217 triệu/m²
08/10/2021,"Phố Phan Văn Trường, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",4.5,3,5,4,5,47,217 triệu/m²
08/10/2021,"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",5.03,6,3,3,3,37.8,99.2 triệu/m²
08/10/2021,"Dự án Izumi City, Đường Hương lộ 2, Xã Long Hưng, Biên Hòa, Đồng Nai",,42,3,4,2,117,50.4 triệu/m²
08/10/2021,"Dự án Văn Khê, Đường Văn Khê, Phường La Khê, Hà Đông, Hà Nội",12,17.5,5,6,,186,126.3 triệu/m²
08/10/2021,"Dự án The Mansions, Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",7,,4,,,154,162.3 triệu/m²
08/10/2021,"Dự án Him Lam Vạn Phúc, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",6.5,,,,,91,296.7 triệu/m²
08/10/2021,"Phố Chùa Quỳnh, Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",,10,2,3,2,53,99.1 triệu/m²
08/10/2021,"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",4.5,6,5,,,80,150 triệu/m²
08/10/2021,"Đường Cầu Giấy, Phường Yên Hòa, Cầu Giấy, Hà Nội",3.8,3,4,5,4,45,117.8 triệu/m²
08/10/2021,"Dự án Vinhomes Imperia Hải Phòng, Phường Thượng Lý, Hồng Bàng, Hải Phòng",12,13,4,4,5,144,118.1 triệu/m²
08/10/2021,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",5,20,3,,19,100,71 triệu/m²
08/10/2021,"Ngõ 521, Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội",4.2,4,5,6,4,55,108.2 triệu/m²
08/10/2021,"Dự án Vinhomes Riverside, Đường Hoa Lan 5, Phường Phúc Lợi, Long Biên, Hà Nội",,,4,5,,281,105 triệu/m²
08/10/2021,"Ngõ 467/118, Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",4.2,2.5,4,3,3,31,87.1 triệu/m²
08/10/2021,"Dự án Swan Lake Onsen, Xã Xuân Quan, Văn Giang, Hưng Yên",7,30,2,,,100,10 tỷ
08/10/2021,"Ngõ 88, Đường Trần Quý Cáp, Phường Văn Chương, Đống Đa, Hà Nội",2.2,6,3,2,1,21,83.3 triệu/m²
08/10/2021,"Phường Thạch Bàn, Long Biên, Hà Nội",,2.5,5,3,4,30,80 triệu/m²
08/10/2021,"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",4.2,2.5,5,3,4,33,126.7 triệu/m²
08/10/2021,"Dự án Euro Village, Đường Hoa Phượng 1, Sơn Trà, Đà Nẵng",10,7,3,4,5,250,96 triệu/m²
08/10/2021,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",4.65,3.5,5,6,4,53,96.2 triệu/m²
08/10/2021,"Đường Phú Xá, Phường Phú Thượng, Tây Hồ, Hà Nội",5.7,,6,,,57,187.7 triệu/m²
08/10/2021,"Số 8 ngõ 437, Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",,,5,4,,92.7,80.9 triệu/m²
08/10/2021,Đường Nguyễn Oanh - Phường 17 - Gò Vấp - Hồ Chí Minh,,6,3,3,4,67.5,96.3 triệu/m²
08/10/2021,"Đường Khương Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",4.8,18,8,9,9,70,278.6 triệu/m²
07/10/2021,"Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",,,5,5,,75,181.3 triệu/m²
07/10/2021,"Dự án Ciputra Hà Nội, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",10,30,3,5,5,126,174.6 triệu/m²
07/10/2021,"Phường Phú Hòa, Thủ Dầu Một, Bình Dương",5,5,,3,2,90,41.1 triệu/m²
07/10/2021,"Đường Hoàng Văn Thái, Thanh Xuân, Hà Nội",4,7,5,3,,46,172.8 triệu/m²
07/10/2021,"Dự án Eurowindow Park City, Đường Lê Lợi, Phường Đông Hải, Thanh Hóa, Thanh Hóa",5,14,5,4,4,84,59.5 triệu/m²
07/10/2021,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",5,13,,,,107.5,13.2 tỷ
07/10/2021,"Nhà số 6 ngách 25 ngõ 272, Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",5,5,2,,,97,5.3 tỷ
07/10/2021,"Dự án Him Lam Vạn Phúc, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",6.5,40,6,,,91,23.7 tỷ
07/10/2021,"Dự án An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội",9,58,3,,,139,122.3 triệu/m²
07/10/2021,"Dự án TNR Stars Bỉm Sơn, Phường Lam Sơn, Bỉm Sơn, Thanh Hóa",5,24,4,,,121.5,3.3 tỷ
07/10/2021,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",13,30,4,4,4,103,169.9 triệu/m²
07/10/2021,"Đường Nguyễn Văn Công, Phường 3, Gò Vấp, Hồ Chí Minh",,,2,2,2,36.45,106.4 triệu/m²
07/10/2021,"Dự án Tân Tây Đô, Đường Quốc lộ 32, Xã Tân Lập, Đan Phượng, Hà Nội",5,13,4,6,4,80,5 tỷ
07/10/2021,"Đường Phạm Vấn, Phường Mân Thái, Sơn Trà, Đà Nẵng",5,7,5,12,13,100,90 triệu/m²
07/10/2021,"323/X, Đường Minh Phụng, Phường 2, Quận 11, Hồ Chí Minh",,8,3,3,3,49,153.1 triệu/m²
07/10/2021,"Đường Nguyễn An Ninh, Hai Bà Trưng, Hà Nội",,3,5,5,,55,123.6 triệu/m²
07/10/2021,"Đường Phạm Phú Thứ, Phường Phước Hưng, Bà Rịa, Bà Rịa Vũng Tàu",5,12,3,,,87.5,44 triệu/m²
07/10/2021,"Ngõ 127, Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội",3,5,3,3,3,40.3,86.8 triệu/m²
07/10/2021,"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",4,6,5,5,5,53,7.6 tỷ
07/10/2021,"Đường Kim Đồng, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",4,10,3,6,6,120,179.2 triệu/m²
07/10/2021,"Ngõ 92 ngách 22 số nhà 6B, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",6.4,,4,4,3,50,133.2 triệu/m²
07/10/2021,"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",5,10,5,5,5,68,441.2 triệu/m²
07/10/2021,"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",4,4,5,4,4,38,157.9 triệu/m²
07/10/2021,"Dự án Vinhomes Cầu Rào 2, Đường Võ Nguyên Giáp, Phường Vĩnh Niệm, Lê Chân, Hải Phòng",6,7,5,,,90,91.7 triệu/m²
07/10/2021,"Đường Lê Văn Hiến, Phường Đức Thắng, Bắc Từ Liêm, Hà Nội",,,5,6,7,70,207.1 triệu/m²
07/10/2021,"18 Trạng Trình, Phường 9, TP. Đà Lạt, Lâm Đồng",15,8,4,6,5,300,53 triệu/m²
07/10/2021,"Dự án Him Lam Vạn Phúc, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",7,40,,,,100,25.6 tỷ
07/10/2021,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",,,6,4,4,80,173.8 triệu/m²
07/10/2021,"Ngõ 192, Đường Lê Trọng Tấn, Phường Khương Trung, Thanh Xuân, Hà Nội",4,2,1,1,1,42,39.3 triệu/m²
07/10/2021,"Dự án Bảo Sơn Paradise, Đường Lê Trọng Tấn, Xã An Khánh, Hoài Đức, Hà Nội",6.6,42,4,,4,129.2,201.2 triệu/m²
06/10/2021,"Ngõ 22, Đường Tôn Thất Tùng, Phường Khương Thượng, Đống Đa, Hà Nội",4.6,3,2,2,2,48,104.2 triệu/m²
06/10/2021,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",4,50,6,6,6,58,422.4 triệu/m²
06/10/2021,"Đường Phan Văn Trị, Phường 7, Gò Vấp, Hồ Chí Minh",4.2,3,1,2,1,85,69.4 triệu/m²
06/10/2021,"Ngõ 712, Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",4.3,3,5,4,4,33,101.5 triệu/m²
06/10/2021,"Phố 59, Phường 14, Gò Vấp, Hồ Chí Minh",,8,3,4,3,70.4,106.5 triệu/m²
06/10/2021,"Số 29B Ngõ 80, Đường Bắc Cầu, Phường Ngọc Thụy, Long Biên, Hà Nội",3.5,,3,3,3,41,62.2 triệu/m²
30/09/2021,"Dự án Vinhomes Cầu Rào 2, Đường Đại lộ Võ Nguyên Giáp, Phường Vĩnh Niệm, Lê Chân, Hải Phòng",5,10,5,,,105,108.6 triệu/m²
06/10/2021,"Dự án Meyhomes Capital, Đường 975, Phường An Thới, Phú Quốc, Kiên Giang",,36,4,4,3,94.25,85.9 triệu/m²
06/10/2021,"Dự án ParaSol, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",6,,3,5,,120,45.8 triệu/m²
06/10/2021,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,,4,,,142.2,105.5 triệu/m²
06/10/2021,"Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",,,5,5,5,100,185 triệu/m²
06/10/2021,"Ngõ 394, đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",3.5,3.5,5,3,4,35,98.6 triệu/m²
06/10/2021,"Ngõ 394, đường Mỹ Đình, Nam Từ Liêm, Hà Nội",3.5,3.5,5,3,4,35,98.6 triệu/m²
06/10/2021,"Ngõ 236, Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",5,3,5,3,4,31.5,98.4 triệu/m²
06/10/2021,"54/19 Đào Duy Anh, Phường 9, Phú Nhuận, Hồ Chí Minh",5,8,4,5,5,93.2,177 triệu/m²
06/10/2021,"Phố Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội",30,8,7,,,150,152 triệu/m²
06/10/2021,"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",4,3,5,3,4,35,115.7 triệu/m²
05/10/2021,"Đường Tam Khương, Phường Khương Thượng, Đống Đa, Hà Nội",4,6,7,4,4,51,245.1 triệu/m²
05/10/2021,"Dự án Westpoint - Nam đường 32, Đường 32, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội",6,13,,,,72,68.8 triệu/m²
05/10/2021,"Dự án An Cựu City, Đường Võ Nguyên Giáp, Phường An Đông, Huế, Thừa Thiên Huế",6,100,5,5,6,102,21.6 triệu/m²
05/10/2021,"Dự án Euro Village, Sơn Trà, Đà Nẵng",5,,3,4,4,100,9.7 tỷ
05/10/2021,"506/x Đường Trường Chinh, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh",,5,2,3,3,34.2,84.8 triệu/m²
05/10/2021,"Hẻm 2295 KP7, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",4.3,,3,4,4,77,77.9 triệu/m²
05/10/2021,"Đường Xuân Đỗ, Phường Cự Khối, Long Biên, Hà Nội ",3.45,3,4,3,3,30,71.7 triệu/m²
05/10/2021,"Dự án Vinhomes Imperia Hải Phòng, Đường Bạch Đằng, Phường Thượng Lý, Hồng Bàng, Hải Phòng",12,13,4,6,7,144,116.7 triệu/m²
05/10/2021,"Dự án Đô Nghĩa, Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",10,,3,4,3,200,12 tỷ
05/10/2021,"Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội",,,5,3,4,33,100 triệu/m²
05/10/2021,"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",6.8,3,6,,,126,182.5 triệu/m²
05/10/2021,"Đường Nguyễn Ngọc Nại, Thanh Xuân, Hà Nội",4,,4,4,,50,120 triệu/m²
05/10/2021,"Dự án KĐT Vịnh An Hòa, Xã Tam Hiệp, Núi Thành, Quảng Nam",6,7.5,3,3,3,305,18 triệu/m²
05/10/2021,"119/3, Đường Đinh Tiên Hoàng, Phường 3, Bình Thạnh, Hồ Chí Minh",4.2,4,3,4,3,42,195.2 triệu/m²
05/10/2021,"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",3.87,4,5,3,3,34,73.5 triệu/m²
05/10/2021,"Đường 389, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",5,5,4,4,4,60,118.3 triệu/m²
05/10/2021,"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",5,4,5,5,4,60,94.2 triệu/m²
